Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ткач,Устим,Петрович,Чоловік,2007-07-23,Мірошник,село Енергодар,"проспект Опішнянський, буд. 4 кв. 597, Помічна, 13387",+380 94 483-85-79,marynaaleksiichuk@gmail.com
Гавриш,Аврелій,Олегович,Чоловік,1956-04-11,Історик,місто Бердичів,"шосе Евлії Челебі, буд. 41 кв. 091, Вилкове, 76914",094 299 43 27,rozaliia84@ukr.net
Забіла,Ярослава,Іванівна,Жінка,1998-03-11,Кінорежисер,село Білицьке,"сквер Сливовий, буд. 15, Кролевець, 43729",+380 39 630 92 81,nalyvaikomarusia@gmail.com
Гоголь,Олена,Василівна,Жінка,1970-05-18,Електромонтер,село Севастополь,"сквер Ткачова, буд. 104 кв. 319, Немирів, 84663",575 54 17,ostapchalenko@ukr.net
Яременко,Марта,Олегівна,Жінка,1998-12-17,Намотувальник,місто Добропілля,"сквер Путівна, буд. 624, Суходільськ, 74920",577 08 50,feofaniefymenko@gmail.com
Назаренко,Адам,Тимофійович,Чоловік,1964-03-14,Публіцист,місто Татарбунари,"шосе Люстдорфська дорога, буд. 97, Козятин, 93335",056 889 69 88,stanislavivanenko@gmail.com
Чорновіл,Маруся,Тимофіївна,Жінка,1986-07-14,Патологоанатом,місто Глиняни,"шосе Басейний 3-й, буд. 05 кв. 78, Бучач, 56614",974-31-11,imasokha@ukr.net
Шутько,Спас,Антонович,Чоловік,2007-07-15,Прокурор,село Світловодськ,"набережна Партизанської слави, буд. 61, Малин, 60567",+380 36 107-07-06,lstus@ukr.net
Засядько,Мартин,Зіновійович,Чоловік,1967-05-24,Епідеміолог,село Саки,"провулок Кавунова, буд. 71 кв. 58, Родинське, 69140",+380 (71) 626-15-40,orestbabak@ukr.net
Фоменко,Анастасія,Володимирівна,Жінка,1981-04-25,Кур'єр,місто Яготин,"сквер Індійська, буд. 802 кв. 836, Помічна, 73038",+380 (76) 771-10-88,sholoborodko@gmail.com
Дахно,Кирило,Олегович,Чоловік,1966-08-09,Шериф,село Брянка,"набережна Лодочний, буд. 084, Середина-Буда, 99821",+380 (03) 284-53-20,edyta75@gmail.com
Гуцуляк,Артем,Васильович,Чоловік,1962-10-13,Електрослюсар,місто Броди,"узвіз Капітана Гаврікова, буд. 47 кв. 77, Балаклія, 92010",+380 23 233 68 10,ihoriarosh@ukr.net
Вдовиченко,Давид,Тимофійович,Чоловік,1999-10-04,Швачка,місто Ніжин,"вулиця Віталія Гуляєва, буд. 8, Новий Калинів, 53115",+380 57 258-47-79,serhiiperepelytsia@ukr.net
Гавриш,Орхип,Дмитрович,Чоловік,1989-10-09,Стропальник,селище Карлівка,"сквер Лузанівська, буд. 204, Зимогір'я, 38690",819-90-26,zoriandeineko@ukr.net
Якимчук,Камілла,Григорівна,Жінка,1953-04-17,Клавішник,місто Надвірна,"набережна Українських Героїв, буд. 389, Андрушівка, 73763",012 108 62 93,svitlanabezditko@gmail.com
Лазаренко,Григорій,Андрійович,Чоловік,1993-06-25,Клоун,селище Умань,"проспект Лиманчик 2-й Лінія 11-та, буд. 4, Хоростків, 81632",066 487-48-23,violetta70@ukr.net
Оліфіренко,Орест,Дмитрович,Чоловік,1992-10-27,Нотаріус,село Любомль,"вулиця Ушинського, буд. 70 кв. 11, Алчевськ, 09509",400 82 64,ntelizhenko@ukr.net
Бабій,Анастасія,Тимофіївна,Жінка,2001-02-24,Археолог,село Буськ,"шосе Москеті, буд. 92, Шумськ, 74042",+380 79 932-75-31,ivasiuknadiia@ukr.net
Овсієнко,Лесь,Ігорович,Чоловік,2007-05-16,Продюсер,село Кременчук,"провулок Лесі Українки, буд. 683 кв. 338, Євпаторія, 48071",670-89-44,mykhailo67@gmail.com
Рябовіл,Галина,Антонівна,Жінка,1985-10-19,Музикант,село Зоринськ,"узвіз Романтиків, буд. 2 кв. 04, Лозова, 55257",+380 66 420-94-84,ctsarenko@gmail.com
Гречаник,Оксенія,Петрівна,Жінка,1945-01-04,Композитор,селище Шахтарськ,"вулиця Варненська, буд. 3 кв. 3, Бурштин, 97314",+380 32 398-93-90,iaryna55@gmail.com
Ґерета,Левко,Дмитрович,Чоловік,1963-07-01,Модельєр,місто Моспине,"набережна Князівська, буд. 238 кв. 0, Ялта, 35895",+380 82 673-93-09,illiashtepa@gmail.com
Павличенко,Ярослава,Михайлівна,Жінка,2002-03-11,Секретар,селище Підгородне,"площа Євгена Крамаренка, буд. 91 кв. 261, Гайворон, 80398",010 538 19 64,vdemianchuk@ukr.net
Джунь,Спас,Григорович,Чоловік,1940-06-15,Кухар,селище Кипуче,"площа Лазурний 3-й, буд. 2, Бахмач, 08060",+380 02 237-33-95,qtkach@ukr.net
Вдовиченко,Варфоломій,Сергійович,Чоловік,1963-03-01,Секретар,місто Герца,"набережна Житомирський 4-й, буд. 392, Шаргород, 07324",+380 03 991 49 84,psvystun@ukr.net
Петренко,Теодор,Валентинович,Чоловік,2003-07-27,Диригент,село Тисмениця,"шосе Лінійна, буд. 27, Вишгород, 15708",550 67 51,liudmyla84@ukr.net
Тесленко,Роман,Іванович,Чоловік,1948-03-30,Ювелір,місто Вуглегірськ,"вулиця Глаубермана, буд. 1, Світлодарськ, 53918",+380 87 366 04 42,anita12@gmail.com
Ільченко,Данна,Сергіївна,Жінка,1941-12-16,Мікробіолог,місто Святогірськ,"шосе Гілельса, буд. 50 кв. 6, Селидове, 56923",512 40 08,banduramykhailo@gmail.com
Лупій,Маруся,Андріївна,Жінка,1968-04-03,Менеджер,місто Гребінка,"сквер Регенсбург, буд. 2 кв. 6, Святогірськ, 56212",+380 (75) 396-18-81,teodor66@gmail.com
Венгринович,Валентин,Сергійович,Чоловік,2001-02-06,Юрист,село Гадяч,"провулок П'ята, буд. 9, Попасна, 51324",779 72 66,bohodar95@gmail.com
Байрак,Василь,Максимович,Чоловік,1943-11-12,Економіст,село Сколе,"провулок Навігаційний, буд. 5, Сновськ, 29204",+380 20 434-50-73,akulenkoihor@ukr.net
Овсієнко,Володимира,Романівна,Жінка,1953-03-05,Ді-джей,селище Андрушівка,"проспект Ткачова, буд. 875 кв. 082, Сокаль, 03271",083 096-03-79,vdovychenkomykhailyna@gmail.com
Щириця,Данна,Зіновіївна,Жінка,1987-04-28,Редактор,місто Винники,"сквер Гетьманський, буд. 3, Тисмениця, 50072",+380 85 860-20-37,larysatsushko@ukr.net
Демʼянюк,Мирослав,Тимофійович,Чоловік,1953-06-16,Машиніст,село Гірське,"узвіз Любашівський, буд. 3 кв. 2, Калуш, 88304",544-11-12,azar96@ukr.net
Корсун,Златослава,Василівна,Жінка,1980-05-13,Юрист,місто Галич,"сквер Лінія 22-га, буд. 2, Моспине, 59892",+380 13 685-85-06,vitrukmarko@ukr.net
Михайличенко,Костянтин,Михайлович,Чоловік,1980-02-21,Менеджер,місто Ужгород,"провулок Шебелінський, буд. 905, Сімферополь, 02747",785 66 82,azarudna@gmail.com
Калениченко,Зорян,Васильович,Чоловік,1962-08-16,Філолог,селище Батурин,"шосе Єфімова, буд. 8, Зеленодольськ, 91839",+380 81 414-38-44,ezasiadko@gmail.com
Бандура,Віолетта,Володимирівна,Жінка,2005-06-10,Музикант,село Привілля,"вулиця Орликова, буд. 43, Суми, 55650",324-92-51,vasylderiazhna@ukr.net
Єрченко,Марʼяна,Зіновіївна,Жінка,2001-04-23,Географ,село Чорнобиль,"площа Михайла Жука, буд. 91, Городище, 56188",+380 13 299-28-32,rakpanas@gmail.com
Сірченко,Андрій,Вікторович,Чоловік,1976-04-11,Медик,село Шумськ,"набережна Прохоровський, буд. 23 кв. 12, Снігурівка, 06775",228 40 88,roksolanalupii@gmail.com
Михалюк,Леонтій,Григорович,Чоловік,1978-08-19,Кінорежисер,село Новгород-Сіверський,"вулиця Ф. Пішеніна, буд. 46 кв. 754, Косів, 95672",088 055-09-76,odarkazabara@ukr.net
Цибуленко,Герман,Антонович,Чоловік,1965-03-03,Електротехнік,місто Рогатин,"площа Лодочний, буд. 88, Василівка, 86540",037 987-84-33,tovstukhaliubov@ukr.net
Дейнеко,Хома,Вікторович,Чоловік,1939-12-24,Кур'єр,місто Свалява,"сквер Бібліотечна, буд. 82 кв. 38, Бахмут, 13191",056 470 37 34,opanas70@gmail.com
Самойленко,Артем,Олегович,Чоловік,1946-11-01,Музикознавець,село Остер,"провулок Госпітальєрів, буд. 82, Дніпрорудне, 50801",+380 90 207-80-10,hennadiipushkar@ukr.net
Кармалюк,Святослава,Вікторівна,Жінка,2008-01-11,Ді-джей,місто Золочів,"вулиця 7-ма Лінія Дачі Ковалевського, буд. 6 кв. 71, Ірпінь, 57157",023 508 06 92,iashchukfrants@gmail.com
Влох,Людмила,Дмитрівна,Жінка,1994-09-26,Сантехнік,селище Дубляни,"провулок Сонячна, буд. 1 кв. 5, Погребище, 41378",097 837-32-51,marianademianiuk@ukr.net
Михайлюк,Розалія,Сергіївна,Жінка,1945-05-22,Менеджер,селище Маріуполь,"узвіз Старорізнична, буд. 8 кв. 4, Моспине, 75234",+380 80 735-81-42,ataran@ukr.net
Данчук,Геннадій,Зіновійович,Чоловік,1994-05-07,Намотувальник,село Болехів,"вулиця Артезіанська, буд. 93, Привілля, 41890",024 872 62 77,geretaillia@gmail.com
Теличенко,Богуслава,Зіновіївна,Жінка,1977-06-19,Літературознавець,село Глобине,"шосе Студентський 3-й, буд. 495, Костянтинівка, 51782",006 658-19-24,ziaremenko@gmail.com
Ірванець,Пріска,Максимівна,Жінка,1938-12-16,Ювелір,селище Новгород-Сіверський,"вулиця Костанді, буд. 789, Докучаєвськ, 83768",004 371 40 09,myroslav58@ukr.net
Сірченко,Аліна,Ярославівна,Жінка,1961-03-19,Лікар,селище Нововолинськ,"парк Бандурний, буд. 38 кв. 7, Звенигородка, 10641",055 759-61-49,artemhaidenko@gmail.com
Уманець,Анастасія,Дмитрівна,Жінка,1993-07-10,Хімік,село Яремче,"шосе Чорноморський 11-й, буд. 936 кв. 4, Тростянець, 96794",+380 01 642-51-06,lemeshkomakar@gmail.com
Нестеренко,Марія,Володимирівна,Жінка,1988-08-26,Бібліотекар,селище Жашків,"узвіз Ольги Благовидової, буд. 1 кв. 87, Коростишів, 38535",+380 44 175-55-76,erika02@ukr.net
Вітер,Ігнат,Андрійович,Чоловік,1988-04-29,Педагог,місто Стрий,"проспект Юхима Фесенка, буд. 8 кв. 418, Татарбунари, 05374",+380 84 602-21-91,rozaliia33@ukr.net
Лемешко,Пилип,Зіновійович,Чоловік,2003-06-07,Реабілітолог,селище Оріхів,"провулок Михайла Слабченка, буд. 2, Чернігів, 48184",+380 82 288-81-18,npavlyk@gmail.com
Засуха,Феофан,Олегович,Чоловік,2002-04-02,Хімік,місто Новогродівка,"вулиця Клинова, буд. 91 кв. 0, Дергачі, 56068",321 97 97,havrylenkooles@gmail.com
Кармалюк,Спас,Іванович,Чоловік,1972-11-29,Сценарист,селище Кам'янка (Черкаська область),"проспект Адміральський, буд. 481, Кальміуське, 62368",+380 84 880 98 06,onysymiurchuk@gmail.com
Приймак,Дарина,Ярославівна,Жінка,1970-11-23,Астрофізик,село Гірник,"парк Байдарочний, буд. 67 кв. 41, Кам'янка-Бузька, 19395",439 61 01,demyd58@gmail.com
Шухевич,Пантелеймон,Валентинович,Чоловік,1945-02-09,Стиліст,місто Острог,"сквер Довженка, буд. 672 кв. 42, Богуслав, 27926",+380 23 732-11-56,ievdokymenkoiakiv@gmail.com
Захаренко,Орися,Іванівна,Жінка,1968-05-13,Електромонтажник,селище Перемишляни,"шосе Ігоря Балмагії, буд. 1 кв. 730, Миколаївка, 84477",+380 (69) 723-57-15,bashtanlukian@gmail.com
Жадан,Франц,Олегович,Чоловік,1976-09-30,Правник,селище Зіньків,"набережна Лютневий 2-й, буд. 2 кв. 0, Полонне, 26317",153 74 51,fastenkosofiia@ukr.net
Байда,Наталія,Валентинівна,Жінка,1960-04-07,Фольклорист,місто Косів,"шосе Донцова Дмитра, буд. 116 кв. 74, Угнів, 11494",752-03-68,kostiantynbhydenko@gmail.com
Гоголь-Яновський,Марко,Дмитрович,Чоловік,1954-06-15,Астронавт,місто Ніжин,"узвіз Чорноморський 7-й, буд. 36 кв. 967, Сокологірськ, 18469",068 986-98-82,shvaikaparmen@gmail.com
Литвиненко,Аркадій,Григорович,Чоловік,1983-08-22,Геофізик,село Моспине,"шосе Творча, буд. 2, Корюківка, 95185",+380 54 126-27-79,olena63@gmail.com
Онищенко,Орхип,Іванович,Чоловік,1992-07-19,Педагог,селище Кам'янка-Бузька,"площа Рельєфна, буд. 993, Олександрія, 50797",918 35 93,iryna69@gmail.com
Терещенко,Андрій,Михайлович,Чоловік,1982-05-20,Мірошник,місто Остер,"провулок Десятого квітня, буд. 9, Тараща, 25995",+380 (42) 863-02-87,bevzleontii@ukr.net
Євтушенко,Василина,Дмитрівна,Жінка,1978-07-20,Архітектор,місто Кривий Ріг,"шосе Ольгіївський узвіз, буд. 23 кв. 944, Жмеринка, 55415",+380 22 522-67-57,deisunomelian@gmail.com
Доценко,Нестор,Володимирович,Чоловік,1968-01-05,Епідеміолог,місто Євпаторія,"площа Маячний, буд. 842 кв. 292, Євпаторія, 79401",+380 02 846-82-88,rdanchuk@gmail.com
Лавренко,Ярослава,Вікторівна,Жінка,1991-07-21,Швачка,місто Ковель,"площа Аркадійська, буд. 97, Маріуполь, 18019",+380 78 614-20-27,demianchukvitalii@gmail.com
Носенко,Еріка,Петрівна,Жінка,1993-12-27,Педагог,село Мена,"сквер Локальна, буд. 8 кв. 816, Малин, 62199",+380 79 907 65 69,iarema67@gmail.com
Ґоляш,Тимофій,Васильович,Чоловік,1989-08-30,Модельєр,місто Кипуче,"площа Преображенська, буд. 05, Мар'їнка, 03229",+380 (61) 044-47-05,alevtyn01@gmail.com
Рудик,Василина,Романівна,Жінка,2005-11-15,Золотар,село Пологи,"парк Китобійний 2-й, буд. 9, Миколаївка, 82958",898-52-88,kustenko@ukr.net
Ващенко,Єлисей,Тимофійович,Чоловік,1994-11-10,Драматург,село Українка,"набережна Петра Лещенка, буд. 47, Вижниця, 18952",+380 20 907-72-79,hermanromanets@gmail.com
Орлик,Франц,Романович,Чоловік,1990-06-11,Будник,село Підгайці,"шосе 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 1, Таврійськ, 19962",049 171-25-90,kzabara@gmail.com
Чумаченко,Герман,Іванович,Чоловік,2002-11-23,Актор,селище Збараж,"провулок Західний 1-й, буд. 591, Тячів, 46242",+380 91 471 22 85,zakhar28@gmail.com
Жадан,Єлисавета,Сергіївна,Жінка,1953-08-15,Гірничий інженер,село Бердянськ,"узвіз Вапняний 2-й, буд. 04 кв. 781, Кам'янець-Подільський, 48286",667-05-72,avrelii86@ukr.net
Юрченко,Тимофій,Михайлович,Чоловік,1983-12-30,Ріелтор,місто Моршин,"узвіз Ф. Пішеніна, буд. 851, Самар, 78733",+380 55 519-98-81,leonabramenko@gmail.com
